Movie Name,Rating,Runtime,Genre,Metascore,Plot,Directors,Stars,Votes,Gross,Link
The Godfather,9.2,175 min,"Crime, Drama",100,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",1914405,"134,966,411",https://www.imdb.com/title/tt0068646/
The Shawshank Redemption,9.3,142 min,Drama,82,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",2751997,"28,341,469",https://www.imdb.com/title/tt0111161/
Shichinin no samurai,8.6,207 min,"Action, Drama",98,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",353392,"269,061",https://www.imdb.com/title/tt0047478/
Cidade de Deus,8.6,130 min,"Crime, Drama",79,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,"Kátia Lund, Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen",772169,"7,563,397",https://www.imdb.com/title/tt0317248/
The Godfather Part II,9,202 min,"Crime, Drama",90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",1303664,"57,300,000",https://www.imdb.com/title/tt0071562/
Pulp Fiction,8.9,154 min,"Crime, Drama",95,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",2113984,"107,928,762",https://www.imdb.com/title/tt0110912/
12 Angry Men,9,96 min,"Crime, Drama",97,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",815045,"4,360,000",https://www.imdb.com/title/tt0050083/
One Flew Over the Cuckoo's Nest,8.7,133 min,Drama,84,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco",1030410,"112,000,000",https://www.imdb.com/title/tt0073486/
The Lord of the Rings: The Return of the King,9,201 min,"Action, Adventure, Drama",94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",1890666,"377,845,905",https://www.imdb.com/title/tt0167260/
Schindler's List,9,195 min,"Biography, Drama, History",95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",1387670,"96,898,818",https://www.imdb.com/title/tt0108052/
Fight Club,8.8,139 min,Drama,66,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier",2191399,"37,030,102",https://www.imdb.com/title/tt0137523/
The Usual Suspects,8.5,106 min,"Crime, Drama, Mystery",77,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin",1106029,"23,341,568",https://www.imdb.com/title/tt0114814/
GoodFellas,8.7,145 min,"Biography, Crime, Drama",92,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",1194491,"46,836,394",https://www.imdb.com/title/tt0099685/
Once Upon a Time in the West,8.5,165 min,Western,82,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",337645,"5,321,508",https://www.imdb.com/title/tt0064116/
Sunset Blvd.,8.4,110 min,"Drama, Film-Noir",94,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",227320,,https://www.imdb.com/title/tt0043014/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,95 min,"Comedy, War",97,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",501110,"275,902",https://www.imdb.com/title/tt0057012/
M - Eine Stadt sucht einen Mörder,8.3,117 min,"Crime, Mystery, Thriller",,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke",161922,"28,877",https://www.imdb.com/title/tt0022100/
"Il buono, il brutto, il cattivo",8.8,161 min,"Adventure, Western",90,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè",778683,"6,100,000",https://www.imdb.com/title/tt0060196/
Le fabuleux destin d'Amélie Poulain,8.3,122 min,"Comedy, Romance",69,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta",770594,"33,225,499",https://www.imdb.com/title/tt0211915/
Memento,8.4,113 min,"Mystery, Thriller",81,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",1265758,"25,544,867",https://www.imdb.com/title/tt0209144/
Rear Window,8.5,112 min,"Mystery, Thriller",100,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",502688,"36,764,313",https://www.imdb.com/title/tt0047396/
A Clockwork Orange,8.3,136 min,"Crime, Sci-Fi",77,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",849210,"6,207,725",https://www.imdb.com/title/tt0066921/
Citizen Kane,8.3,119 min,"Drama, Mystery",100,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead",451296,"1,585,634",https://www.imdb.com/title/tt0033467/
City Lights,8.5,87 min,"Comedy, Drama, Romance",99,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers",188826,"19,181",https://www.imdb.com/title/tt0021749/
Oldeuboi,8.4,120 min,"Action, Drama, Mystery",77,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok",597673,"707,481",https://www.imdb.com/title/tt0364569/
The Matrix,8.7,136 min,"Action, Sci-Fi",73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",1961848,"171,479,930",https://www.imdb.com/title/tt0133093/
The Third Man,8.1,104 min,"Film-Noir, Mystery, Thriller",97,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard",175580,"449,191",https://www.imdb.com/title/tt0041959/
Nuovo Cinema Paradiso,8.5,155 min,"Drama, Romance",80,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli",268984,"11,990,401",https://www.imdb.com/title/tt0095765/
Taxi Driver,8.2,114 min,"Crime, Drama",94,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks",866347,"28,262,574",https://www.imdb.com/title/tt0075314/
The Dark Knight,9,152 min,"Action, Crime, Drama",84,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",2724737,"534,858,444",https://www.imdb.com/title/tt0468569/
Apocalypse Now,8.4,147 min,"Drama, Mystery, War",94,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest",683269,"83,471,511",https://www.imdb.com/title/tt0078788/
North by Northwest,8.3,136 min,"Action, Adventure, Mystery",98,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",335093,"13,275,000",https://www.imdb.com/title/tt0053125/
Sen to Chihiro no kamikakushi,8.6,125 min,"Animation, Adventure, Family",96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi",792279,"10,055,859",https://www.imdb.com/title/tt0245429/
Paths of Glory,8.4,88 min,"Drama, War",90,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready",202566,,https://www.imdb.com/title/tt0050825/
American History X,8.5,119 min,"Crime, Drama",62,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",1145002,"6,719,864",https://www.imdb.com/title/tt0120586/
The Great Dictator,8.4,125 min,"Comedy, Drama, War",,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner",229075,"288,475",https://www.imdb.com/title/tt0032553/
The Avengers,8,143 min,"Action, Sci-Fi",69,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",1418138,"623,279,547",https://www.imdb.com/title/tt0848228/
Requiem for a Dream,8.3,102 min,Drama,71,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",863036,"3,635,482",https://www.imdb.com/title/tt0180093/
Det sjunde inseglet,8.1,96 min,"Drama, Fantasy",88,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot, Nils Poppe",190210,,https://www.imdb.com/title/tt0050976/
Modern Times,8.5,87 min,"Comedy, Drama, Romance",96,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",248758,"163,245",https://www.imdb.com/title/tt0027977/
Se7en,8.6,127 min,"Crime, Drama, Mystery",65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker",1701594,"100,125,643",https://www.imdb.com/title/tt0114369/
Chinatown,8.2,130 min,"Drama, Mystery, Thriller",92,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez",335258,"8,486,653",https://www.imdb.com/title/tt0071315/
Ikiru,8.3,143 min,Drama,92,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka",82056,"55,240",https://www.imdb.com/title/tt0044741/
Ladri di biciclette,8.3,89 min,Drama,,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri",167845,"332,930",https://www.imdb.com/title/tt0040522/
Eternal Sunshine of the Spotless Mind,8.3,108 min,"Drama, Romance, Sci-Fi",89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne",1033002,"34,400,301",https://www.imdb.com/title/tt0338013/
Vertigo,8.3,128 min,"Mystery, Romance, Thriller",100,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore",411461,"3,200,000",https://www.imdb.com/title/tt0052357/
Lawrence of Arabia,8.3,218 min,"Adventure, Biography, Drama",100,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",301694,"44,824,144",https://www.imdb.com/title/tt0056172/
Das Boot,8.4,149 min,"Drama, War",86,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch",255996,"11,487,676",https://www.imdb.com/title/tt0082096/
Hotaru no haka,8.5,89 min,"Animation, Drama, War",94,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara",288219,,https://www.imdb.com/title/tt0095327/